id	navi	ipa	infixes	partOfSpeech	source	stressed	syllables	infixDots	de	en	et	fr	hu	nl	pl	ru	sv
6556	nìtengfya	nɪ.ˈtɛŋ.fja	NULL	adv.	http://forum.learnnavi.org/language-updates/fmawno/msg293595/#msg293595 (24 Aug 2010)	2	nì-teng-fya	NULL	auf die gleiche Art und Weise (ähnliche Handlung)	as, same way as (similar action)	samalaadselt	comme | de la même façon que	mint, ugyanúgy (mint) (hasonló cselekedet)	ook, hetzelfde als (gelijke actie)	równie, jak, tak jak, tak samo	так же как (о действии)	som, samma sätt som (liknande handling)
6564	tun	tun	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	tun	NULL	rot, orange	red, orange	punane, oranž	rouge | orange	piros, narancssárga	rood, oranje	czerwony, pomarańczowy	красный, оранжевый	röd, orange
6568	'om	ʔom	NULL	adj.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'om	NULL	violett, lila, purpur, magenta	violet, purple, magenta	violetne, lilla	violet | pourpre | magenta | mauve	lila	violet, paars, magenta	fioletowy, purpurowy, magenta	фиолетовый, пурпурный	violett, lila, magenta
6572	neyn	nɛjn	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	neyn	NULL	helle Farben, Weißtöne	light colors, shades of white	hele (värv)	claire (dans le sens 'une couleur claire')	világos színek	lichte kleuren, wittinten	jasnokolorowy, odcień białego	яркие краски, оттенки светлого	ljusa färger, vita nyanser
6576	ngul	ŋul	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ngul	NULL	grau, graubraun, trist	grey, drab	hall, hallikas	gris | terne	szürke	grijs, grauw	szary, bury, bezbarwny	серый, тусклый	grå 
6580	tumpin	ˈtum.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	tum-pin	NULL	Rot, Orange	red, orange	punane, oranž	la couleur rouge | la couleur orange	piros / narancs szín	rood, oranje	czerwień, pomarańcz	красный, оранжевый	röd, orange
6584	eampin	ˈɛ.am.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	e-am-pin	NULL	Blau, Grün	blue, green	sinine, roheline	la couleur bleue | la couleur verte	kék/zöld szín	blauw, groen	niebieski, zielony	голубой, зеленый	blå, grön
6588	rimpin	ˈɾim.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	rim-pin	NULL	Gelb	yellow	kollane	la couleur jaune	sárga szín	geel	żółć	желтый	gul
6592	'ompin	ˈʔom.pin	NULL	n.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'om-pin	NULL	Violett, Lila, Purpur, Magenta	violet, purple, magenta	violetne värv, lilla	la couleur violette, pourpre, magenta	lila szín	violet, paars, magenta	fiolet, purpura, magenta	фиолетовый, пурпурный	violett, lila, magenta
6596	layompin	la.ˈjom.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	2	la-yom-pin	NULL	Schwarz	black	must	le noir	fekete szín	zwart	czerń	черный	svart
6600	teyrpin	ˈtɛjɾ.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	teyr-pin	NULL	Weiß	white	valge	le blanc	fehér szín	wit	biel	белый	vit
6604	vawmpin	ˈvawm.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	vawm-pin	NULL	dunkle Farbe	dark color	tume värv	couleur sombre	sötét szín	donkere kleur	ciemny kolor	темный	mörk färg
6608	neympin	ˈnɛjm.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	neym-pin	NULL	helle Farbe	light color	hele värv	couleur claire	világos szín	lichte kleur	jasny kolor	светлый	ljus färg
6612	ngulpin	ˈŋul.pin	NULL	n.	Frommer (26. August 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ngul-pin	NULL	Grau	grey	hall	le gris	szürke szín	grijs	szarość	серый	grå
6616	pil	pil	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	pil	NULL	Gesichtsstreifen, natürliche Maserung der Na'vi	facial stripe	näojoon, näotriip 	rayure faciale (désigne le motif dessiné par les rayures des visages Na'vi et Avatar)	arccsík	gezichtsstreep	prążek na twarzy	полоска на коже лица	ansiktsrand
6620	ta'lengean	ˈtaʔ.lɛ.ŋɛ.an	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ta'-le-nge-an	NULL	hautblau, blaue Hautfarbe der Na'vi	skin blue	nahasinine	bleue-peau (dans le sens 'ce truc est bleu-peau pas bleu-ciel...')	na'vi bőrkék	huidblauw	niebieski (jak skóra)	голубой как кожа	hudblå
6624	rìkean	ˈɾɪ.kɛ.an	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	rì-ke-an	NULL	blattgrün	leaf green	lehtroheline	vert feuille	levélzöld	bladgroen	zielony (jak liść)	зеленый как лист	lövgrön
6628	kllvawm	ˈkḷ.vawm	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	kll-vawm	NULL	braun	brown	pruun	marron	barna	bruin (gronddonker)	brązowy	коричневый	brun
6632	'evan	ˈʔɛ.van	NULL	n.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'e-van	NULL	Junge (umgangssprachlich)	boy (colloquial)	poiss, kutt (kõnekeelne)	garçon (langage familier)	fiú (köznapi)	jongen (spreektaal)	chłopak (potocznie)	мальчик (разг.)	pojke (vardagligt)
6636	'eve	ˈʔɛ.vɛ	NULL	n.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'e-ve	NULL	Mädchen (umgangssprachlich)	girl (colloquial)	tüdruk (kõnekeelne)	fille (langage familier)	lány (köznapi)	meisje (spreektaal)	dziewczyna (potocznie)	девочка (разг.)	flicka (vardagligt)
6640	'evengan	ˈʔɛ.vɛ.ŋan	NULL	n.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'e-ve-ngan	NULL	Junge	boy	poiss	garçon	fiú	jongen	chłopak	мальчик	pojke
6644	'evenge	ˈʔɛ.vɛ.ŋɛ	NULL	n.	http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/ (26 Aug 2010)	1	'e-ve-nge	NULL	Mädchen	girl	tüdruk	fille	lány	meisje	dziewczyna	девочка	flicka
6648	fkio	ˈfki.o	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	fki-o	NULL	Tetrapteron, Flamingo ähnlicher Vogel Pandoras	tetrapteron	Libliklohe (tetrapteron)	tétrapteron | ([animal de Pandora semblable à un flamant rose])	tetrapteron (pandorai állatfaj)	tetrapteron	tetrapteron	tetrapteron	tetrapteron, flamingoliknande fågel
6652	kenten	ˈkɛn.tɛn	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ken-ten	NULL	Fächerechse, Fanisaurus pennatus, geflügelte Fächerechse	fan lizard	Tiibsisalik (fan lizard)	lézard éventail | fan lizard	legyezőgyík	waaierhagedis	jaszczurka wachlarzowa	веерная ящерица	fan lizard, ödla
6656	nìwä	nɪ.ˈwæ	NULL	adv.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	2	nì-wä	NULL	im Gegensatz, im Gegenteil, andererseits	on the contrary, conversely	vastupidi, vastupidiselt	inversement	ellenkezőleg, ellentétesen	in tegendeel	przeciwnie, odwrotnie	напротив	tcärtom
6660	pìwopx	pɪ.ˈwop'	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	2	pì-wopx	NULL	Wolke	cloud	pilv	nuage	felhő	wolk	chmura	облако	moln
6664	ramtsyìp	ˈɾam.t͡sjɪp̚	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ram-tsyìp	NULL	Hügel, kleiner Berg	hill	küngas, väike mägi	colline	domb	heuvel	pagórek	холм	kulle
6668	syaksyuk	sjak.ˈsjuk̚	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	2	syak-syuk	NULL	Prolemuris, Lemuren ähnliche Affenart Pandoras, Prolemuris noctis	prolemuris	Hiidleemur (prolemuris)	prolemuris	prolemuris (pandorai állatfaj)	prolemuris	prolemur	prolemuris	prolemuris
6672	tor	toɾ	NULL	adj.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	tor	NULL	endgültig, ein Ende bringend	last, ultimate, terminal	viimane, viimne, lõpetav	dernier | ultime | terminal	utolsó, végső, befejező	laatste, uiteindelijke	ostatni, ostateczny	последний	sista, ultimata, slutgiltiga
6676	txärem	ˈt'æ.ɾɛm	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	txä-rem	NULL	Knochen	bone	luu, kont	os	csont	bot (gebeente)	kość	кость	ben (som skelett)
6680	uk	uk̚	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	uk	NULL	Schatten	shadow	vari	ombre	árny(ék)	schaduw	cień	тень	skugga
6684	yapay	ˈja.paj	NULL	n.	Frommers Blog (26. Aug 2010) http://naviteri.org/2010/08/mipa-ayopin-mipa-ayliu-new-colors-new-words/	1	ya-pay	NULL	Nebel, Dunst, (Wasser)Dampf	mist, fog, steam	udu, aur	brume | brouillard | vapeur	pára, köd, gőz	mist, stoom	mgła, para	туман, пар	dimma, imma
6688	tìspe'e	tɪ.spɛ.ˈʔɛ	NULL	n.	Frommer (August 2010) http://forum.learnnavi.org/website-info/the-dictionary-part-ii/msg530248/#msg530248	3	tì-spe-'e	NULL	Gefangennahme, Fang	capture	vangistamine, tabamine	capture	zsákmány	vangen	schwytanie, pojamnie	добыча	fånge
6696	tìftxavang	tɪ.ˈft'a.vaŋ	NULL	n.	http://forum.learnnavi.org/language-updates/grid-tidbits/msg305279/#msg305279 (08. September 2010)	2	tì-ftxa-vang	NULL	Leidenschaft	passion	kirg	passion	szenvedély	passie	pasja	страсть	passion
6704	tìtstunwi	tɪ.ˈt͡stun.wi	NULL	n.	Frommer (18. September 2010)  http://forum.learnnavi.org/community-calendar/karyu-pawls-birthday/msg312733/#msg312733	2	tì-tstun-wi	NULL	Nettigkeit, Aufmerksamkeit, Rücksicht	kindness	lahkus, heldus	bonté | bienveillance	kedvesség	vriendelijkheid	uprzejmość	доброта	vänlighet
6708	stxeli	ˈst'ɛ.li	NULL	n.	Frommer (18. Sep 2010) http://forum.learnnavi.org/language-updates/new-word-gift/msg312737/#msg312737 http://forum.learnnavi.org/community-calendar/karyu-pawls-birthday/msg312733/#msg312733	1	stxe-li	NULL	Geschenk	gift	kingitus, and	cadeau | présent	ajándék	kado	prezent, podarunek	подарок	gåva, present
6712	ngrrpongu	ŋṛ.po.ŋu	NULL	n.	Frommer (26. Feb 2010) Good Morning America Aufnahme http://forum.learnnavi.org/language-updates/good-morning-america-related-phrases-%28and-audio-recording%29/msg116871/#msg116871	1	ngrr-po-ngu	NULL	Basisbewegung, Volksbewegung	grassroots movement	rohujuurte liikumine	mouvement populaire	néprétegek megmozdulása	burgerinitiatief, activisme (van grassroot)	inicjatywa oddolna	низовое движение	gräsröttersrörelse
6716	smon	sm·on	sm<0><1><2>on	vin.	Frommer (26. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	1	smon	sm..on	vertraut sein, jemanden kennen (mit Dativ)	be familiar, be known (with dative)	tundma, teadma ( datiivne kääne)	être familier	ismerni	familiair zijn	znać, być zaznajomionym (z formą celownika)	быть известным	känna till, känna
6720	lawk	l·awk̚	l<0><1><2>awk	vtr.	Frommer (26. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	1	lawk	l..awk	über jemanden reden, über etwas reden	discourse on, talk about, say something concerning	vestlema, rääkima (millestki)	parler de	értekezik, beszél valamiről, oda vonatkozót mond	praten over, iets zeggen/uitweiden over	rozmawiać, dyskutować, rozprawiać	дискутировать, высказаться о..	samtala om, prata om, säga något angående
6724	hìtxoa	hɪ.ˈt'o.a	NULL	intj.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	hì-txo-a	NULL	Verzeihung, Entschuldigung	excuse me	vabandage, vabandust	pardonnez-moi | excusez-moi	Elnézést!	sorry, vergeef me	przepraszam	извините	ursäkta mig,
6728	mäkxu	m·æ.ˈk'u	m<0><1><2>äkxu	vtr.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	mä-kxu	m..äkxu	unterbrechen, aus der harmonischen Balance bringen (für Aktivitäten, Umstände)	interrupt, throw out of harmonious balance	segama, rikkuma, häirima	interrompre | briser l'harmonie	megszakít, félbeszakít, kizökkent	onderbreken, uit harmonische balans gooien	przerywać, wyprowadzać z równowagi	нарушение гармонии	avbryta, störa, kasta ut ur en harmonisk balans 
6732	hultstxem	h·ul.ˈt͡st'·ɛm	h<0><1>ultstx<2>em	vtr.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	hul-tstxem	h.ultstx.em	hindern, jmd. unterbrechen, jdm. im Weg sein, ein Hindernis sein	hinder	takistama	gêner | retarder	akadályoz	hinderen	utrudniać	мешать	hindra
6736	mok	m·ok̚	m<0><1><2>ok	vtr.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	1	mok	m..ok	vorschlagen	suggest	soovitama	proposer | suggérer	javasol	voorstellen, suggereren	sugerować	предлагать	föreslå
6740	muwìntxu	mu.w·ɪn.ˈt'·u	muw<0><1>ìntx<2>u	vtr.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	3	mu-wìn-txu	muw.ìntx.u	jmd., et. vorstellen, präsentieren	introduce, present	tutvustama, esitlema	présenter | introduire	bemutat, előad	introduceren, voorstellen	przedstawiać, prezentować	представлять	introducera, presentera
6744	kan'ìn	ˈk·an.ʔ·ɪn	k<0><1>an'<2>ìn	vtr.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	1	kan-'ìn	k.an'.ìn	konzentrieren, spezialisieren, interessiert sein	focus on, specialize in, be particularly interested in	keskenduma (millelegi), spetsialiseeruma, eriliselt huvitatud olema	se concentrer | s'intéresser	koncentrál valamire, specializálódik, különösen érdeklődik	focussen op, specialiseren in, geïnteresseerd zijn in	skupiać się, specjalizować się, być szczególnie zainteresowanym	интересоваться, специализироваться	fokusera på, specialisera i, vara särskilt intresserad av
6748	tìwusem	tɪ.wu.ˈsɛm	NULL	n.	NULL	3	tì-wu-sem	NULL	das Kämpfen	fighting	võitlemine	bagarre, combat	küzdelem	vechten	walka	борьба (абстрактно)	kamp
6756	nì'eng	nɪ.ˈʔɛŋ	NULL	adv.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	nì-'eng	NULL	gleichbereichtigt, auf gleicher Stufe, auf gleicher Ebene	equally, on the same level	võrdselt, samaväärselt	pareillement | également	egyformán, egy szinten	gelijk, op gelijk niveau	równo, identycznie, tak samo	эквиваллентно	lika, på samma nivå
6760	Pari	ˈpa.ɾi	NULL	prop.n.	(26 September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	1	Pa-ri	NULL	Paris (Hauptstadt Frankreichs)	Paris	Pariis	Paris	Párizs	Parijs	Paryż	Париж	Paris
6764	tì'ong	tɪ.ˈʔoŋ	NULL	n.	Frommer (26. Sep 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	tì-'ong	NULL	Aufblühen, Ausblühen	blooming, unfolding	õitsemine	éclosion | floraison	virágzás, kinyílás	bloeien	kwitnienie, rozwój	цветение	blommning
6768	tìmok	tɪ.ˈmok̚	NULL	n.	Frommer (26. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/comment-page-1/#comment-296 Frommer (29. Feb 2012) http://naviteri.org/2012/02/trr-asawnung-lefpom-happy-leap-day/	2	tì-mok	NULL	Vorschlag (abstrakt), das Vorschlagen	abstract idea of a suggestion	soovitamine	suggestion	javaslat	suggestie	sugerowanie	предложение (абстрактная идея)	förslag
6772	tì'em	tɪ.ˈʔɛm	NULL	n.	Frommer (26. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-1/	2	tì-'em	NULL	Kochen, Kochkunst	the art of cooking	kokkamine	la cuisine (dans le sens 'l'art de cuisiner')	a főzés művészete	kookkunst	kuchnia, sposób gotowania	поварское искусство	matlagningskonst, konsten att laga mat
6776	leyn	l·ɛjn	l<0><1><2>eyn	vtr.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	leyn	l..eyn	wiederholen, noch einmal tun	repeat, do again	kordama, uuesti tegema	répéter	ismétel, újra csinál	herhalen	powtarzać	повторять	repetera, göra igen
6780	päsketpol	ˈpæ.skɛt.pol	NULL	n.	(28 September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	pä-sket-pol	NULL	Basketball	basketball	korvpall	basket-ball	basketball	basketbal	koszykówka	баскетбол	basket
6784	nìFranse	nɪ.ˈfɾan.sɛ	NULL	adv.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	nì-Fran-se	NULL	französisch, in Französisch	French	prantsuse moodi, prantsuse keeles	en français	francia, franciául	Frans, in het Frans	po francusku	пофранцузски	Franska, på Franska
6788	nìToitsye	nɪ.ˈto.ɪ.t͡sjɛ	NULL	adv.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	nì-To-i-tsye	NULL	deutsch, in Deutsch	German	saksa moodi, saksa keeles	en allemand	német, németül	Duits	po niemiecku	понемецки	Tyska, Deutsch
6792	nìno	nɪ.ˈno	NULL	adv.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	nì-no	NULL	im Detail, genau, detailiert	in detail, expansively, thoroughly	detailselt, põhjalikult, läbinisti	en détail | complètement	részletesen, alaposan	in detail, uitgebreid	szczegółowo, gruntownie, wylewnie	подробно	i detalj, grundligt
6796	hìno	hɪ.ˈno	NULL	adj.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	hì-no	NULL	detailiert, präzise, genau (für Dinge)	fine, detailed, precise, intricate (of things)	detailne, täpne (asjade kohta)	fin | précis | détaillé	finom, részletes, precíz, bonyolult (dolog)	fijn, precies, gedetailleerd (van dingen)	szegółowy, dokładny, zawiły	точный, углубленный,сложный (о вещи)	detaljerad, precis (om saker)
6800	leno	lɛ.ˈno	NULL	adj.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	le-no	NULL	genau, detailorientiert, gründlich (für Menschen)	thorough, detailorientated (of a person)	täpne, põhjalik (inimeste kohta)	direct (pour une personne)	alapos, részletességre törekvő (személy)	diepgaand, gedetailleerd (van een persoon)	skrupulatny, skupiony na szczegółach (o osobie)	вдумчивый	grundlig, fokuserad på detaljer (om en person)
6804	tìno	tɪ.ˈno	NULL	n.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	tì-no	NULL	Gründlichkeit, Liebe zum Detail	thoroughness, attention to detail	täpsus, põhjalikkus, detailsus	perfection	alaposság, részletesség	diepgaandheid, precisie, gedetailleerdheid	skrupulatność, zwracanie uwagi na szczegóły	вдумчивость, внимание к деталям	grundlighet, uppmärksamhet på detaljer
6808	'ongokx	ˈʔ·o.ŋ·ok'	'<0><1>ong<2>okx	vin.	http://naviteri.org/2010/09/getting-to-know-you-part-2/ (28 September 2010)	1	'o-ngokx	'.ong.okx	geboren werden	be born	sündima	naître | (être né)	születik	geboren worden	rodzić się	родиться	födas
6812	nokx	n·ok'	n<0><1><2>okx	vtr.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	nokx	n..okx	gebären	give birth to	sünnitama	mettre au monde	szül (valakit)	baren	urodzić	породить	föda
6816	nìtrrtrr	nɪ.ˈtṛ.tṛ	NULL	adv.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	2	nì-trr-trr	NULL	täglich, regelmäßig, in täglicher Weise	on a daily basis, regularly	(iga)päevaselt, regulaarselt	régulièrement	napi szinten, rendszeresen	dagelijks, regelmatig	codziennie, regularnie	ежедневно	dagligen, regelbundet
6820	tìn	tɪn	NULL	n.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	tìn	NULL	Tätigkeit, die einen beschäftigt hält	activity that keeps one busy	hõivatus; hõivav tegevus	activité prenante (dans le sens 'une activité qui vous occupe')	elfoglaltságot adó cselekvés	activiteit die je bezig houdt	zajmująca czynność	занятие	aktivitet som håller en upptagen
6824	txin	t'in	NULL	adj.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	txin	NULL	hauptsächlich, Haupt, pimär, wichtigste	main, primary	peamine, põhiline	premier | primaire | principal	fő, elsődleges	eerste, primaire	główny, podstawowy	главный, первичный	främst, primär
6828	txintìn	ˈt'in.tɪn	NULL	n.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	txin-tìn	NULL	Beruf, Hauptbeschäftigung in der Gesellschaft	occupation, primary role in society	amet, peamine roll ühiskonnas	occupation | activité principale (dans le sens 'ton activité principale au sein du Clan')	foglalkozás, elsődleges szerep a társadalomban	bezigheid, primaire rol in de gemeenschap	zawód, rola w społeczeństwie	деятельность, основная роль в обществе	yrke, roll i samhället
6832	'emyu	ˈʔɛm.ju	NULL	n.	http://naviteri.org/2010/09/getting-to-know-you-part-2/ (28 September 2010)	1	'em-yu	NULL	Koch	cook, cooker	kokk, söögi tegija	cuisinier	szakács	kok	kucharz	повар	kock
6836	vewng	v·ɛwŋ	v<0><1><2>ewng	vtr.	Frommer (28. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-2/	1	vewng	v..ewng	kümmern um, sorgen um, verantwortlich sein für	look after, take care of, be responsible for	hoolitsema, vastutama (millegi/kellegi eest)	s'occuper de | prendre soin de	vigyáz, gondoskodik, felelős	letten op, zorgen voor, verantwoordelijk zijn voor	opiekować się	смотреть на, отвечать за	se efter, ta hand om, vara ansvarig för
6840	kaltxì si	kal.ˈt'ɪ ˈs·i	kaltxì s<0><1><2>i	vin.	Frommer (29. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-3/	2	kal-txì si	kaltxì s..i	grüßen, Hallo sagen	say hello, greet	tervitama, tere ütlema	saluer | accueillir	köszön(t), üdvözöl	groeten, hallo zeggen	pozdrowić, witać	поприветствовать	häsla, säga hej
6844	sopyu	ˈsop.ju	NULL	n.	Frommer (30. September 2010) http://naviteri.org/2010/09/quick-follow-up/	1	sop-yu	NULL	Reisender	traveller	rändaja, reisija	voyageur	utazó	reiziger	podróżnik	путешественник	resande, resenär
6848	fula	ˈfu.la	NULL	sbd.	(30 September 2010) http://forum.learnnavi.org/language-updates/fula-short-form-of-fiul-a-and-tsal-oeti-steyki-nitram/	1	fu-la	NULL	das, diese Sache, dass (RelativsatzEinleiter)	that	see, mis	que (marqueur de subordination)	azt, hogy (alárendelt tagmondatot jelez)	dat	który (forma ergatywu)	что	den, det, som (klausul bisatsmarkör)
6852	tskxekeng si	ˈt͡sk'ɛ.kɛŋ ˈs·i	tskxekeng s<0><1><2>i	vin.	Frommer (29. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-3/	2	tskxe-keng si	tskxekeng s..i	üben, trainieren	exercise, train	harjutama, treenima	entrainer	gyakorol, edz	oefenen, trainen	ćwiczyc, trenować	упражняться, тренироваться	öva, träna
6856	way si	ˈwaj ˈs·i	way s<0><1><2>i	vin.	Frommer (01. October 2010) http://wiki.learnnavi.org/index.php/Canon/2010/UltxaAyharyu%C3%A4#Synonyms	1	way si	way s..i	singen	sing	laulma	chanter	dalol	zingen	śpiewać	петь 	sjunga
6860	swawtsyìp	ˈswaw.t͡sjɪp̚	NULL	n.	NULL	1	swaw-tsyìp	NULL	kleiner Moment, Momentchen, Augenblickchen, Sekunde	little moment, second	lühike hetk, sekund	petit moment, seconde	kis pillanat, másodperc	een kort moment, seconde	krótka chwila, sekunda	мгновение, секунда	litet ögonblick, sekund
6864	käteng	ˈk·æ.tɛŋ	k<0><1><2>äteng	vin.	Frommer (3. April 2010) http://forum.learnnavi.org/language-updates/mipa-ayliu-teri-tusaftxua-filifya!/	1	kä-teng	k..äteng	Zeit verbringen	spend time with, hang out with	aega veetma, koos olema	passer du temps avec	időt tölteni, „lógni” valakivel	samen zijn met	spędzać czas ze sobą, spotykać się	тратить время на	spendera tid med, hänga med
6868	'ìn	ʔ·ɪn	'<0><1><2>ìn	vin.	http://naviteri.org/2010/09/getting-to-know-you-part-3/ (29 September 2010)	1	'ìn	'..ìn	beschäftigt sein	be busy, be occupied	hõivatud olema	être occupé	elfoglalt, tevékeny	bezig zijn, druk zijn	być zajętym	иметь занятие	vara upptagen, vara sysselsatt
6872	Sweriye	swɛɾijɛ	NULL	prop.n.	Frommer (02.-03. October 2010) http://forum.learnnavi.org/navi-lernen/frommersche-neuigkeiten-%28neue-worter-reflexiv-meine-name-ist-%29/msg325879/#msg325879	1	Sweriye	NULL	Schweden	Sweden	Rootsi	Suède	Svédország	Zweden	Szwecja	Швеция	Sverige
6876	nìfkrr	nɪ.ˈfkṛ	NULL	adv.	Frommer (29. September 2010) http://naviteri.org/2010/09/getting-to-know-you-part-3/	2	nì-fkrr	NULL	in letzter Zeit, derzeitig, zurzeit	lately, currently	hiljuti	récemment | dernièrement	mostanában, jelenleg	tegenwoordig, momenteel	obecnie, ostatnio	позднее, сейчас	nyligen, för närvarande
